x y label
0 0.13 a
1 0.14 a
2 0.09 a
3 0.11 a
4 0.09 a
5 0.11 a
6 0.07 a
7 0.09 a
8 0.07 a
9 0.16 a
10 0.09 a
11 0.1 a
12 0.11 a
13 0.06 a
14 0.24 a
15 0.07 a
16 0.08 a
17 0.07 a
18 0.08 a
19 0.15 a
20 0.34 a
21 0.1 a
22 0.07 a
23 0.09 a
24 0.1 a
25 0.06 a
26 0.1 a
27 0.14 a
28 0.34 a
29 0.12 a
30 0.07 a
31 0.07 a
32 0.17 a
33 0.13 a
34 0.07 a
35 0.07 a
36 0.11 a
37 0.08 a
38 0.08 a
39 0.09 a
40 0.13 a
41 0.22 a
42 0.07 a
43 0.07 a
44 0.05 a
45 0.07 a
46 0.19 a
47 0.07 a
48 0.06 a
49 0.14 a
50 0.05 a
51 0.22 a
52 0.13 a
53 0.07 a
54 0.17 a
55 0.12 a
56 0.14 a
57 0.09 a
58 0.12 a
59 0.09 a
60 0.12 a
61 0.17 a
62 0.07 a
63 0.18 a
64 0.04 a
65 0.09 a
66 0.09 a
67 0.11 a
68 0.11 a
69 0.12 a
70 0.24 a
71 0.09 a
72 0.08 a
73 0.14 a
74 0.1 a
75 0.1 a
76 0.04 a
77 0.05 a
78 0.07 a
79 0.11 a
80 0.08 a
81 0.08 a
82 0.28 a
83 0.18 a
84 0.15 a
85 0.09 a
86 0.11 a
87 0.1 a
88 0.11 a
89 0.14 a
90 0.32 a
91 0.1 a
92 0.08 a
93 0.07 a
94 0.24 a
95 0.12 a
96 0.11 a
97 0.1 a
98 0.09 a
99 0.08 a
0 0.01 b
1 0.01 b
2 0.01 b
3 1.0 b
4 0.02 b
5 0.01 b
6 0.01 b
7 1.0 b
8 0.01 b
9 0.01 b
10 1.0 b
11 1.0 b
12 0.99 b
13 0.01 b
14 0.01 b
15 0.01 b
16 0.01 b
17 0.01 b
18 0.02 b
19 1.0 b
20 0.01 b
21 0.01 b
22 0.01 b
23 1.0 b
24 0.02 b
25 1.0 b
26 0.01 b
27 1.0 b
28 0.99 b
29 0.01 b
30 0.02 b
31 1.0 b
32 0.01 b
33 1.0 b
34 1.0 b
35 1.0 b
36 1.0 b
37 0.01 b
38 0.01 b
39 0.01 b
40 0.01 b
41 0.02 b
42 0.01 b
43 0.02 b
44 1.0 b
45 1.0 b
46 0.01 b
47 1.0 b
48 0.01 b
49 0.01 b
50 0.01 b
51 0.01 b
52 0.02 b
53 0.01 b
54 0.01 b
55 0.01 b
56 0.01 b
57 0.02 b
58 1.0 b
59 1.0 b
60 1.0 b
61 1.0 b
62 0.01 b
63 0.01 b
64 0.01 b
65 1.0 b
66 0.02 b
67 1.0 b
68 0.02 b
69 1.0 b
70 1.0 b
71 0.01 b
72 1.0 b
73 0.01 b
74 0.01 b
75 0.01 b
76 0.01 b
77 0.01 b
78 0.01 b
79 0.02 b
80 0.01 b
81 1.0 b
82 0.01 b
83 0.01 b
84 0.01 b
85 0.01 b
86 0.01 b
87 0.99 b
88 0.01 b
89 1.0 b
90 0.01 b
91 1.0 b
92 1.0 b
93 1.0 b
94 1.0 b
95 0.01 b
96 1.0 b
97 1.0 b
98 1.0 b
99 1.0 b
0 0.01 c
1 0.01 c
2 0.01 c
3 0.01 c
4 0.01 c
5 0.01 c
6 0.01 c
7 0.01 c
8 0.01 c
9 0.01 c
10 0.01 c
11 0.01 c
12 0.01 c
13 0.01 c
14 0.01 c
15 0.01 c
16 0.01 c
17 0.01 c
18 0.01 c
19 0.01 c
20 0.01 c
21 0.01 c
22 0.01 c
23 0.01 c
24 0.01 c
25 0.01 c
26 0.01 c
27 0.01 c
28 0.01 c
29 0.01 c
30 0.01 c
31 0.01 c
32 0.01 c
33 0.01 c
34 0.01 c
35 0.01 c
36 0.01 c
37 0.01 c
38 0.01 c
39 0.01 c
40 0.01 c
41 0.01 c
42 0.01 c
43 0.01 c
44 0.01 c
45 0.01 c
46 0.01 c
47 0.01 c
48 0.01 c
49 0.01 c
50 0.01 c
51 0.01 c
52 0.01 c
53 0.01 c
54 0.01 c
55 0.01 c
56 0.01 c
57 0.01 c
58 0.01 c
59 0.01 c
60 0.01 c
61 0.01 c
62 0.01 c
63 0.01 c
64 0.01 c
65 0.01 c
66 0.01 c
67 0.01 c
68 0.01 c
69 0.01 c
70 0.01 c
71 0.01 c
72 0.01 c
73 0.01 c
74 0.01 c
75 0.01 c
76 0.01 c
77 0.01 c
78 0.01 c
79 0.01 c
80 0.01 c
81 0.01 c
82 0.01 c
83 0.01 c
84 0.01 c
85 0.01 c
86 0.01 c
87 0.01 c
88 0.01 c
89 0.01 c
90 0.01 c
91 0.01 c
92 0.01 c
93 0.01 c
94 0.01 c
95 0.01 c
96 0.01 c
97 0.01 c
98 0.01 c
99 0.01 c
0 0.01 d
1 0.01 d
2 0.01 d
3 0.01 d
4 0.01 d
5 0.01 d
6 0.01 d
7 0.01 d
8 0.01 d
9 0.01 d
10 0.01 d
11 0.01 d
12 0.01 d
13 0.01 d
14 0.01 d
15 0.01 d
16 0.01 d
17 0.01 d
18 0.01 d
19 0.01 d
20 0.01 d
21 0.01 d
22 0.01 d
23 0.01 d
24 0.01 d
25 0.01 d
26 0.01 d
27 0.01 d
28 0.01 d
29 0.01 d
30 0.01 d
31 0.01 d
32 0.01 d
33 0.01 d
34 0.01 d
35 0.01 d
36 0.01 d
37 0.01 d
38 0.01 d
39 0.01 d
40 0.01 d
41 0.01 d
42 0.01 d
43 0.01 d
44 0.01 d
45 0.01 d
46 0.01 d
47 0.01 d
48 0.01 d
49 0.01 d
50 0.01 d
51 0.01 d
52 0.01 d
53 0.01 d
54 0.01 d
55 0.01 d
56 0.01 d
57 0.01 d
58 0.01 d
59 0.01 d
60 0.01 d
61 0.01 d
